"","SoilT","SoilM"
"1",7.1,0.32
"2",7.1,0.32
"3",7.0375,0.31875
"4",7.1875,0.31375
"5",7.25,0.31
"6",7.05,0.31
"7",6.98846153846154,0.306538461538462
"8",6.97307692307692,0.301923076923077
"9",6.95769230769231,0.297307692307692
"10",6.94230769230769,0.292692307692308
"11",6.92692307692308,0.288076923076923
"12",6.91153846153846,0.283461538461538
"13",7.1,0.32
"14",6.85,0.28
"15",6.65,0.28
"16",6.475,0.279375
"17",6.375,0.276875
"18",7.1,0.32
"19",7.1,0.32
"20",7.1,0.32
"21",7.1,0.32
"22",7.1,0.32
"23",7.1,0.32
"24",7.1,0.32
"25",6.275,0.274375
"26",6.175,0.271875
"27",7.6,0.26
"28",8,0.26
"29",8,0.26
"30",7.75,0.26
"31",8.35,0.26
"32",8,0.26
"33",8.05,0.25
"34",8.2,0.25
"35",8.3,0.25
"36",8.2,0.25
"37",6.075,0.27
"38",8,0.25
"39",7.95,0.24
"40",7.65,0.24
"41",7.75,0.24
"42",5.975,0.27
"43",5.9,0.27
"44",6.05,0.26
"45",6.19,0.26
"46",6.31,0.26
"47",6.53333333333333,0.26
"48",7.06666666666667,0.26
"49",7.65,0.24
"50",7.575,0.24
"51",8.9,0.23
"52",9.53333333333333,0.23
"53",9.66666666666667,0.23
"54",9.4,0.23
"55",10.05,0.23
"56",9.9,0.23
"57",9.85,0.23
"58",10.05,0.23
"59",10.1,0.23
"60",10.05,0.23
"61",7.5,0.24
"62",9.98333333333333,0.228333333333333
"63",9.91666666666667,0.221666666666667
"64",9.85,0.22
"65",9.8,0.22
"66",7.3,0.24
"67",7.25,0.24
"68",7.525,0.24
"69",7.85,0.23
"70",7.6,0.23
"71",8,0.23
"72",8.4,0.23
"73",9.6,0.22
"74",9.4,0.22
"75",10.4666666666667,0.22
"76",11.1333333333333,0.22
"77",11.1,0.21
"78",11.65,0.21
"79",11.375,0.21
"80",11.5,0.21
"81",11.3,0.21
"82",11.4,0.21
"83",11.4,0.21
"84",11.45,0.21
"85",9.7,0.22
"86",11.2875,0.20875
"87",11.2375,0.20375
"88",11.1625,0.2
"89",11.0125,0.2
"90",9.4,0.22
"91",9.45,0.22
"92",9.55,0.22
"93",9.65,0.22
"94",9.5,0.22
"95",9.875,0.22
"96",9.775,0.22
"97",10.8,0.2
"98",10.64,0.2
"99",11.05,0.2
"100",12.05,0.2
"101",11.85,0.2
"102",11.65,0.2
"103",11.85,0.2
"104",12.1,0.2
"105",12,0.2
"106",12,0.19
"107",12,0.19
"108",11.95,0.19
"109",10.56,0.2
"110",11.9,0.19
"111",11.825,0.19
"112",11.725,0.19
"113",11.625,0.19
"114",10.45,0.2
"115",10.3,0.2
"116",10.4875,0.2
"117",10.7375,0.2
"118",10.3,0.2
"119",10.4666666666667,0.2
"120",10.3333333333333,0.2
"121",11.5,0.19
"122",11.35,0.19
"123",12.075,0.19
"124",12.375,0.19
"125",12.8,0.19
"126",12.8666666666667,0.18
"127",13.1333333333333,0.18
"128",13.1,0.18
"129",13,0.18
"130",13.075,0.18
"131",13.2,0.18
"132",13.05,0.18
"133",11.15,0.19
"134",12.925,0.18
"135",12.775,0.18
"136",12.7,0.18
"137",12.475,0.1725
"138",11.11,0.19
"139",11.15,0.19
"140",11.19,0.19
"141",11.1,0.19
"142",11.05,0.19
"143",11.35,0.19
"144",11.2,0.19
"145",12.05,0.17
"146",11.8,0.17
"147",11.5,0.17
"148",11.9,0.17
"149",12.25,0.17
"150",12.2,0.155
"151",11.675,0.14
"152",12.15,0.14
"153",12,0.14
"154",11.6,0.14
"155",11.5,0.14
"156",11.45,0.14
"157",11.55,0.17
"158",11.325,0.14
"159",11.05,0.14
"160",10.75,0.14
"161",10.625,0.14
"162",11.3,0.17
"163",11.1,0.17
"164",11.025,0.17
"165",11.1,0.17
"166",11.025,0.17
"167",11,0.17
"168",10.8,0.17
"169",10.35,0.14
"170",10.2,0.14
"171",10.025,0.14
"172",10.55,0.14
"173",11.15,0.14
"174",10.9,0.14
"175",11,0.13
"176",11.2,0.13
"177",11.1,0.13
"178",11.15,0.13
"179",11.05,0.13
"180",10.9,0.13
"181",10.05,0.135
"182",10.9,0.13
"183",10.75,0.13
"184",10.6,0.13
"185",10.45,0.13
"186",9.85,0.13
"187",9.65,0.13
"188",9.55,0.13
"189",9.7,0.13
"190",9.95,0.13
"191",10.05,0.1325
"192",10.125,0.14
"193",10.5,0.13
"194",10.45,0.13
"195",10.1333333333333,0.13
"196",10.2,0.13
"197",10.3166666666667,0.13
"198",10.3833333333333,0.13
"199",10.45,0.13
"200",10.5,0.13
"201",10.5,0.13
"202",10.5,0.13
"203",10.55,0.13
"204",10.65,0.13
"205",10.3,0.13
"206",10.7,0.13
"207",10.725,0.13
"208",10.7,0.13
"209",10.525,0.13
"210",10.2,0.13
"211",10.2,0.13
"212",10.2,0.13
"213",10.2,0.13
"214",10.2,0.13
"215",10.25,0.13
"216",10.2666666666667,0.13
"217",10.525,0.13
"218",10.6,0.13
"219",11,0.16
"220",10.9833333333333,0.15
"221",12.1166666666667,0.15
"222",11.75,0.15
"223",11.9,0.15
"224",11.85,0.15
"225",11.8,0.15
"226",11.325,0.15
"227",11.35,0.15
"228",11.15,0.145
"229",10.525,0.1325
"230",11.1,0.14
"231",10.9,0.14
"232",10.65,0.14
"233",10.45,0.14
"234",10.625,0.1425
"235",10.65,0.155
"236",10.5,0.16
"237",10.5,0.16
"238",10.35,0.16
"239",10.65,0.16
"240",10.8,0.16
"241",10.275,0.14
"242",10.1333333333333,0.14
"243",9.95,0.14
"244",10.1,0.14
"245",10.4,0.14
"246",9.95,0.14
"247",10.2,0.14
"248",10.375,0.14
"249",10.2,0.14
"250",10.1,0.14
"251",10.15,0.14
"252",10.175,0.14
"253",9.86666666666667,0.14
"254",10.1,0.14
"255",10.0625,0.14
"256",10.0125,0.14
"257",9.95,0.14
"258",9.7,0.14
"259",9.65,0.14
"260",9.65,0.14
"261",9.9,0.14
"262",10.15,0.14
"263",10,0.14
"264",10,0.14
"265",9.85,0.14
"266",9.8,0.14
"267",10.2,0.14
"268",10.2,0.14
"269",10.4,0.14
"270",10.6,0.14
"271",10.425,0.14
"272",10.65,0.14
"273",10.65,0.14
"274",10.5,0.14
"275",10.5,0.13
"276",10.6,0.13
"277",9.8,0.14
"278",10.6,0.13
"279",10.525,0.13
"280",10.4,0.13
"281",10.325,0.13
"282",9.65,0.14
"283",9.6,0.14
"284",9.6,0.14
"285",9.7,0.14
"286",9.775,0.14
"287",9.925,0.14
"288",10.2,0.14
"289",10.275,0.13
"290",10.2,0.135
"291",9.95,0.14
"292",9.925,0.15
"293",9.95,0.15
"294",9.85,0.15
"295",9.9,0.15
"296",9.875,0.15
"297",9.8,0.15
"298",9.8,0.1575
"299",9.7,0.16
"300",9.7,0.16
"301",10.125,0.14
"302",9.58333333333333,0.16
"303",9.51666666666667,0.16
"304",9.5,0.16
"305",9.48333333333333,0.16
"306",10.05,0.14
"307",9.925,0.14
"308",9.9,0.14
"309",9.9,0.14
"310",10,0.14
"311",10.05,0.14
"312",10.075,0.14
"313",9.41666666666667,0.16
"314",9.35,0.165
"315",9.65,0.355
"316",10.15,0.335
"317",11,0.3225
"318",10.35,0.305
"319",10.95,0.295
"320",10.6,0.285
