"","X.1","X","time","DOYtime","flux","soilT_T","VSM_T","doy","DAMM14","predict14"
"1",1,1,"2014-05-01 08",121.36806,35.12,5.1,0.33,121,42.5627598382031,49.2726898156891
"2",2,2,"2014-05-01 09",121.394096666667,55.5283333333333,5.15,0.33,121,42.8022754332417,49.7448345816344
"3",3,3,"2014-05-01 10",121.436806,52.254,5.28,0.33,121,43.4309331585706,50.9724109730923
"4",4,4,"2014-05-01 11",121.47639,61.654,5.46,0.324,121,44.1344238057074,49.9247931577576
"5",5,5,"2014-05-01 12",121.519096666667,60.5233333333333,5.75,0.32,121,45.4315332651632,50.8316734850819
"6",6,6,"2014-05-01 13",121.561806,56.742,6.1,0.32,121,47.2410206761707,54.1366868466991
"7",7,7,"2014-05-01 14",121.60139,67.996,6.48,0.32,121,49.2818440167792,57.7249870678834
"8",8,8,"2014-05-01 15",121.644096666667,83.5916666666667,6.98333333333333,0.32,121,52.1121930953061,62.4779110450661
"9",9,9,"2014-05-01 16",121.686806,80.84,7.46,0.31,121,54.3114517998402,62.4001261925152
"10",10,10,"2014-05-01 17",121.72639,84.914,7.82,0.31,121,56.5100183342915,65.7995685073214
"11",11,11,"2014-05-01 18",121.769096666667,92.2616666666667,8.11666666666667,0.31,121,58.3840762487447,68.6009607852636
"12",12,12,"2014-05-01 19",121.811806,87.326,8.22,0.31,121,59.0503742775206,69.5767266348839
"13",13,13,"2014-05-01 20",121.85139,77.236,8.22,0.31,121,59.0503742775206,69.5767266348839
"14",14,14,"2014-05-01 21",121.894096666667,107.925,8.4,0.32,121,60.9163574380545,75.8553460801832
"15",15,15,"2014-05-01 22",121.936806,83.74,8.38,0.32,121,60.7829220867858,75.666488173805
"16",16,16,"2014-05-01 23",121.97639,76.868,8.26,0.32,121,59.9880329618036,74.5333407355363
"17",17,17,"2014-05-02 00",122.019096666667,84.2533333333333,8.1,0.316666666666667,122,58.7459482693129,71.4961780552127
"18",18,18,"2014-05-02 01",122.061806,76.862,7.96,0.31,122,57.3872815425091,67.1215738519683
"19",19,19,"2014-05-02 02",122.10139,75.81,7.9,0.31,122,57.0097633531399,66.5550001328339
"20",20,20,"2014-05-02 03",122.144096666667,92.0033333333333,7.76666666666667,0.31,122,56.1791345967677,65.2959474236465
"21",21,21,"2014-05-02 04",122.186806,74.696,7.64,0.31,122,55.4005344078966,64.0998473499183
"22",22,22,"2014-05-02 05",122.22639,66.696,7.52,0.31,122,54.672234167368,62.9666999116496
"23",23,23,"2014-05-02 06",122.269096666667,80.5733333333333,7.26666666666667,0.31,122,53.1640225192605,60.5744997641934
"24",24,24,"2014-05-02 07",122.311806,67.902,7.16,0.31,122,52.5407055139283,59.5672575968434
"25",25,25,"2014-05-02 08",122.35139,56.556,7.1,0.31,122,52.1931008323506,59.000683877709
"26",26,26,"2014-05-02 09",122.394096666667,75.4366666666667,7.2,0.31,122,52.7736438488434,59.9449734095996
"27",27,27,"2014-05-02 10",122.436806,55.52,7.5,0.31,122,54.5517250294471,62.7778420052715
"28",28,28,"2014-05-02 11",122.47639,52.278,7.68,0.31,122,55.6453109256271,64.4775631626746
"29",29,29,"2014-05-02 12",122.519096666667,66.0816666666667,7.95,0.31,122,57.3241999003593,67.0271448987792
"30",30,30,"2014-05-02 13",122.561806,64.948,8.26,0.304,122,58.7935232221645,67.2071034749024
"31",31,31,"2014-05-02 14",122.60139,72.206,8.38,0.3,122,59.1761653011935,66.5086915980126
"32",32,32,"2014-05-02 15",122.644096666667,75.61,8.46666666666667,0.3,122,59.7410290886445,67.3270758589845
"33",33,33,"2014-05-02 16",122.686806,59.89,8.56,0.3,122,60.3549808378052,68.2084127554157
"34",34,34,"2014-05-02 17",122.72639,67.468,8.64,0.3,122,60.8859163788503,68.9638443809282
"35",35,35,"2014-05-02 18",122.769096666667,75.3033333333333,8.7,0.3,122,61.2869808892685,69.5304181000626
"36",36,36,"2014-05-02 19",122.811806,72.866,8.7,0.3,122,61.2869808892685,69.5304181000626
"37",37,37,"2014-05-02 20",122.85139,71.756,8.62,0.3,122,60.7527745502731,68.7749864745501
"38",38,38,"2014-05-02 21",122.894096666667,82.1283333333333,8.46666666666667,0.3,122,59.7410290886445,67.3270758589845
"39",39,39,"2014-05-02 22",122.936806,78.244,8.3,0.3,122,58.6591895562802,65.7532599725001
"40",40,40,"2014-05-02 23",122.97639,80.328,8.12,0.3,122,57.5113975986719,64.053538815097
"41",41,41,"2014-05-03 00",123.019096666667,88.42,7.93333333333333,0.3,123,56.3433049648046,62.2908650222345
"42",42,42,"2014-05-03 01",123.061806,74.418,7.74,0.3,123,55.1569135908807,60.4652385939127
"43",43,43,"2014-05-03 02",123.10139,70.222,7.62,0.3,123,54.4323289087237,59.332091155644
"44",44,44,"2014-05-03 03",123.144096666667,81.9633333333333,7.46666666666667,0.3,123,53.5194250352459,57.8841805400784
"45",45,45,"2014-05-03 04",123.186806,72.344,7.34,0.3,123,52.7761103230551,56.6880804663503
"46",46,46,"2014-05-03 05",123.22639,65.308,7.22,0.3,123,52.0808355888026,55.5549330280815
"47",47,47,"2014-05-03 06",123.269096666667,69.0033333333333,7.1,0.3,123,51.3941367503324,54.4217855898128
"48",48,48,"2014-05-03 07",123.311806,62.214,7.04,0.3,123,51.0539725260818,53.8552118706784
"49",49,49,"2014-05-03 08",123.35139,59.44,7.04,0.3,123,51.0539725260818,53.8552118706784
"50",50,50,"2014-05-03 09",123.394096666667,62.8933333333333,7.18333333333333,0.3,123,51.8701056382354,55.2086935330549
"51",51,51,"2014-05-03 10",123.436806,50.88,7.38,0.3,123,53.0097914669227,57.0657962791065
"52",52,52,"2014-05-03 11",123.47639,56.732,7.62,0.3,123,54.4323289087237,59.332091155644
"53",53,53,"2014-05-03 12",123.519096666667,67.1883333333333,7.95,0.3,123,56.4466897309993,62.448246610883
"54",54,54,"2014-05-03 13",123.561806,68.822,8.44,0.3,123,59.5666900401943,67.075265317147
"55",55,55,"2014-05-03 14",123.60139,63.934,8.9,0.292,123,61.6801578255865,67.7558785335269
"56",56,56,"2014-05-03 15",123.644096666667,70.485,9.15,0.29,123,63.1129141927984,69.2008227056741
"57",57,57,"2014-05-03 16",123.686806,69.072,9.46,0.29,123,65.2806104562982,72.128120254535
"58",58,58,"2014-05-03 17",123.72639,72.232,9.56,0.29,123,65.9945854208452,73.0724097864257
"59",59,59,"2014-05-03 18",123.769096666667,83.855,9.6,0.29,123,66.282214299562,73.4501255991819
"60",60,60,"2014-05-03 19",123.811806,75.75,9.58,0.29,123,66.1382536748501,73.2612676928038
"61",61,61,"2014-05-03 20",123.85139,69.228,9.46,0.29,123,65.2806104562982,72.128120254535
"62",62,62,"2014-05-03 21",123.894096666667,80.545,9.33333333333333,0.29,123,64.3866082553767,70.9320201808069
"63",63,63,"2014-05-03 22",123.936806,67.25,9.2,0.29,123,63.457928588864,69.6729674716194
