"","X.1","X","DOY","hour","SoilT","SoilM","flux","time","scale","DAMM","SoilMCrazy","DAMM09","DAMM13","DAMM14","predictFit09"
"1",1,1,113,0,7.1,0.227,NA,113,NA,39.1776922732996,0.32,39.1776922732996,36.074256364016,42.5627598382031,20.9958280881705
"2",2,2,113,1,7.1,0.227,NA,113.020833333333,NA,39.1776922732996,0.32,39.1776922732996,36.3169363199178,42.8022754332417,20.9958280881705
"3",3,3,113,10,7.0375,0.226875,0.0004251,113.208333333333,42.51,38.8777531937314,0.31875,38.8777531937314,36.8891437825947,43.4309331585706,20.3484109021402
"4",4,4,113,11,7.1875,0.226375,NA,113.229166666667,NA,39.4066640551926,0.31375,39.4066640551926,38.0024749406881,44.1344238057074,21.5359002855813
"5",5,5,113,12,7.25,0.226,0.0001863,113.25,18.63,39.5877035520957,0.31,39.5877035520957,39.6140405286962,45.4315332651632,21.9543725572168
"6",6,6,113,13,7.05,0.226,0.000268,113.270833333333,26.8,38.7215152372791,0.31,38.7215152372791,41.5033916061916,47.2410206761707,20.0657934934356
"7",7,7,113,14,6.98846153846154,0.225653846153846,NA,113.291666666667,NA,38.3756877819411,0.306538461538462,38.3756877819411,43.4767874547841,49.2818440167792,19.3261919176911
"8",8,8,113,15,6.97307692307692,0.225192307692308,NA,113.3125,NA,38.199707630318,0.301923076923077,38.199707630318,44.8737386573772,52.1121930953061,18.969582837959
"9",9,9,113,16,6.95769230769231,0.224730769230769,NA,113.333333333333,NA,38.0238563491203,0.297307692307692,38.0238563491203,45.4125026237926,54.3114517998402,18.6129737582266
"10",10,10,113,17,6.94230769230769,0.224269230769231,NA,113.354166666667,NA,37.8481367658282,0.292692307692308,37.8481367658282,46.0416697058388,56.5100183342915,18.2563646784945
"11",11,11,113,18,6.92692307692308,0.223807692307692,NA,113.375,NA,37.6725517141648,0.288076923076923,37.6725517141648,46.1430898330106,58.3840762487447,17.8997555987621
"12",12,12,113,19,6.91153846153846,0.223346153846154,NA,113.395833333333,NA,37.4971040339917,0.283461538461538,37.4971040339917,46.0416697058388,59.0503742775206,17.54314651903
"13",13,13,113,2,7.1,0.227,NA,113.041666666667,NA,39.1776922732996,0.32,39.1776922732996,45.6380705020949,59.0503742775206,20.9958280881705
"14",14,14,113,20,6.85,0.223,0.0002216,113.416666666667,22.16,37.159115413292,0.28,37.159115413292,42.8118395285862,60.9163574380545,16.8035449432855
"15",15,15,113,21,6.65,0.223,0.0003741,113.4375,37.41,36.3437653913792,0.28,36.3437653913792,42.2494294675834,60.7829220867858,14.9149658795043
"16",16,16,113,22,6.475,0.2229375,0.000242,113.458333333333,24.2,35.6296800618035,0.279375,35.6296800618035,42.1563690660336,59.9880329618036,13.2338410843964
"17",17,17,113,23,6.375,0.2226875,NA,113.479166666667,NA,35.178624590316,0.276875,35.178624590316,41.693936171161,58.7459482693129,12.1750790953083
"18",18,18,113,3,7.1,0.227,NA,113.0625,NA,39.1776922732996,0.32,39.1776922732996,41.693936171161,57.3872815425091,20.9958280881705
"19",19,19,113,4,7.1,0.227,NA,113.083333333333,NA,39.1776922732996,0.32,39.1776922732996,41.2362516692934,57.0097633531399,20.9958280881705
"20",20,20,113,5,7.1,0.227,NA,113.104166666667,NA,39.1776922732996,0.32,39.1776922732996,41.2362516692934,56.1791345967677,20.9958280881705
"21",21,21,113,6,7.1,0.227,NA,113.125,NA,39.1776922732996,0.32,39.1776922732996,41.1452805818514,55.4005344078966,20.9958280881705
"22",22,22,113,7,7.1,0.227,NA,113.145833333333,NA,39.1776922732996,0.32,39.1776922732996,41.0091758910477,54.672234167368,20.9958280881705
"23",23,23,113,8,7.1,0.227,NA,113.166666666667,NA,39.1776922732996,0.32,39.1776922732996,41.1225671617996,53.1640225192605,20.9958280881705
"24",24,24,113,9,7.1,0.227,0.0001799,113.1875,17.99,39.1776922732996,0.32,39.1776922732996,41.5102951095179,52.5407055139283,20.9958280881705
"25",25,25,114,0,6.275,0.2224375,NA,114,NA,34.7328188300484,0.274375,34.7328188300484,41.693936171161,52.1931008323506,11.1163171062203
"26",26,26,114,1,6.175,0.2221875,NA,114.020833333333,NA,34.2922072867761,0.271875,34.2922072867761,43.0008603928087,52.7736438488434,10.0575551171323
"27",27,27,114,10,7.6,0.221,NA,114.208333333333,NA,39.8458264028412,0.26,39.8458264028412,43.861154755019,54.5517250294471,22.9699367748859
"28",28,28,114,11,8,0.221,0.000244,114.229166666667,24.4,41.6399275407942,0.26,41.6399275407942,44.7866906435191,55.6453109256271,26.7470949024483
"29",29,29,114,12,8,0.221,0.0003125,114.25,31.25,41.6399275407942,0.26,41.6399275407942,46.3699504578246,57.3241999003593,26.7470949024483
"30",30,30,114,13,7.75,0.221,0.0005171,114.270833333333,51.71,40.5099674893335,0.26,40.5099674893335,48.4094234980254,58.7935232221645,24.3863710727218
"31",31,31,114,14,8.35,0.221,0.0003381,114.291666666667,33.81,43.271466156194,0.26,43.271466156194,49.1553591729565,59.1761653011935,30.0521082640655
"32",32,32,114,15,8,0.221,0.0003484,114.3125,34.84,41.6399275407942,0.26,41.6399275407942,52.7615790643146,59.7410290886445,26.7470949024483
"33",33,33,114,16,8.05,0.22,0.000413,114.333333333333,41.3,41.5905362257385,0.25,41.5905362257385,53.9785502640764,60.3549808378052,26.761349839604
"34",34,34,114,17,8.2,0.22,0.0004388,114.354166666667,43.88,42.2815230876342,0.25,42.2815230876342,54.2133092586383,60.8859163788503,28.1777841374399
"35",35,35,114,18,8.3,0.22,0.00034695,114.375,34.695,42.7481299930286,0.25,42.7481299930286,54.9034864467127,61.2869808892685,29.1220736693305
"36",36,36,114,19,8.2,0.22,0.0002925,114.395833333333,29.25,42.2815230876342,0.25,42.2815230876342,55.4014896628594,61.2869808892685,28.1777841374399
"37",37,37,114,2,6.075,0.222,0.0002942,114.041666666667,29.42,33.8706128716885,0.27,33.8706128716885,55.4014896628594,60.7527745502731,9.02741124234365
"38",38,38,114,20,8,0.22,0.0003326,114.416666666667,33.26,41.362564274547,0.25,41.362564274547,55.3015524596138,59.7410290886445,26.2892050736587
"39",39,39,114,21,7.95,0.219,0.0002695,114.4375,26.95,40.8582059203719,0.24,40.8582059203719,55.4014896628594,58.6591895562802,25.3591704789238
"40",40,40,114,22,7.65,0.219,0.000199,114.458333333333,19.9,39.5306496045557,0.24,39.5306496045557,55.4014896628594,57.5113975986719,22.5263018832519
"41",41,41,114,23,7.75,0.219,0.0002193,114.479166666667,21.93,39.9686184113067,0.24,39.9686184113067,71.0464443902085,56.3433049648046,23.4705914151425
"42",42,42,114,3,5.975,0.222,0.000208,114.0625,20.8,33.4950227490516,0.27,33.4950227490516,71.7662692885845,55.1569135908807,8.08312171045303
"43",43,43,114,4,5.9,0.222,0.0002882,114.083333333333,28.82,33.2158917009598,0.27,33.2158917009598,72.0768476355557,54.4323289087237,7.37490456153508
"44",44,44,114,5,6.05,0.221,0.000358,114.104166666667,35.8,33.5542524562856,0.26,33.5542524562856,72.0268070494166,53.5194250352459,8.33344903058138
"45",45,45,114,6,6.19,0.221,NA,114.125,NA,34.0818252429911,0.26,34.0818252429911,71.1204538863369,52.7761103230551,9.65545437522823
"46",46,46,114,7,6.31,0.221,NA,114.145833333333,NA,34.5401980111699,0.26,34.5401980111699,71.7052466509089,52.0808355888026,10.788601813497
"47",47,47,114,8,6.53333333333333,0.221,0.0001548,114.166666666667,15.48,35.4086763787139,0.26,35.4086763787139,68.5340430316989,51.3941367503324,12.897515101386
"48",48,48,114,9,7.06666666666667,0.221,NA,114.1875,NA,37.5660090993542,0.26,37.5660090993542,66.4530520030817,51.0539725260818,17.933725938136
"49",49,49,115,0,7.65,0.219,NA,115,NA,39.5306496045557,0.24,39.5306496045557,65.732799806758,51.0539725260818,22.5263018832519
"50",50,50,115,1,7.575,0.219,0.0002541,115.020833333333,25.41,39.2051233833129,0.24,39.2051233833129,62.4140499355245,51.8701056382354,21.818084734334
"51",51,51,115,10,8.9,0.218,0.0005868,115.208333333333,58.68,45.032550809961,0.23,45.032550809961,61.9609163964714,53.0097914669227,33.872031203095
"52",52,52,115,11,9.53333333333333,0.218,0.0013428,115.229166666667,134.28,48.251194223914,0.23,48.251194223914,61.9609163964714,54.4323289087237,39.8525315717355
"53",53,53,115,12,9.66666666666667,0.218,0.0003875,115.25,38.75,48.9556538015846,0.23,48.9556538015846,61.1907319895641,56.4466897309993,41.111584280923
"54",54,54,115,13,9.4,0.218,0.0002934,115.270833333333,29.34,47.5562210930574,0.23,47.5562210930574,61.8177907621807,59.5666900401943,38.593478862548
"55",55,55,115,14,10.05,0.218,0.0008949,115.291666666667,89.49,51.0349101287023,0.23,51.0349101287023,62.088365306692,61.6801578255865,44.731360819837
"56",56,56,115,15,9.9,0.218,0.00052205,115.3125,52.205,50.2116466910073,0.23,50.2116466910073,62.4862372085392,63.1129141927984,43.3149265220011
"57",57,57,115,16,9.85,0.218,0.0004574,115.333333333333,45.74,49.9399960661862,0.23,49.9399960661862,63.5613677874321,65.2806104562982,42.8427817560558
